name	components	components_genesymbols	stoichiometry	sources	references	identifiers
39S mitochondrial large ribosomal subunit	O75394_P09001_P49406_P52815_Q13084_Q13405_Q14197_Q16540_Q4U2R6_Q5T653_Q6P161_Q6P1L8_Q7Z2W9_Q7Z7F7_Q7Z7H8_Q86TS9_Q8IXM3_Q8N5N7_Q8N983_Q8TAE8_Q8TCC3_Q96A35_Q96DV4_Q96EL3_Q96GC5_Q9BQ48_Q9BQC6_Q9BRJ2_Q9BYC8_Q9BYC9_Q9BYD1_Q9BYD2_Q9BYD3_Q9BYD6_Q9BZE1_Q9H0U6_Q9H2W6_Q9H9J2_Q9HD33_Q9NP92_Q9NQ50_Q9NRX2_Q9NVS2_Q9NWU5_Q9NX20_Q9NYK5_Q9NZE8_Q9P015_Q9P0J6_Q9P0M9_Q9Y3B7_Q9Y6G3	GADD45GIP1_MRPL1_MRPL10_MRPL11_MRPL12_MRPL13_MRPL14_MRPL15_MRPL16_MRPL17_MRPL18_MRPL19_MRPL2_MRPL20_MRPL21_MRPL22_MRPL23_MRPL24_MRPL27_MRPL28_MRPL3_MRPL30_MRPL32_MRPL33_MRPL34_MRPL35_MRPL36_MRPL37_MRPL38_MRPL39_MRPL4_MRPL40_MRPL41_MRPL42_MRPL43_MRPL44_MRPL45_MRPL46_MRPL47_MRPL48_MRPL49_MRPL50_MRPL51_MRPL52_MRPL53_MRPL54_MRPL55_MRPL57_MRPL58_MRPL9_MRPS18A_MRPS30	1:1:1:1:1:1:1:1:1:1:1:1:1:1:1:1:1:1:1:1:1:1:1:1:1:1:1:1:1:1:1:1:1:1:1:1:1:1:1:1:1:1:1:1:1:1:1:1:1:1:1:1	SIGNOR;ComplexPortal	27023846;25838379;14755292;26789594	SIGNOR:SIGNOR-C285;PDB:3j7y
40S cytosolic small ribosomal subunit	P08708_P08865_P15880_P22090_P23396_P25398_P39019_P42677_P46781_P46782_P46783_P60866_P61247_P62081_P62241_P62244_P62249_P62263_P62266_P62269_P62273_P62277_P62280_P62701_P62753_P62841_P62847_P62851_P62854_P62857_P62861_P62979_P63220_Q71UM5_Q8TD47	FAU_RPS10_RPS11_RPS12_RPS13_RPS14_RPS15_RPS15A_RPS16_RPS17_RPS18_RPS19_RPS2_RPS20_RPS21_RPS23_RPS24_RPS25_RPS26_RPS27_RPS27A_RPS27L_RPS28_RPS29_RPS3_RPS3A_RPS4X_RPS4Y1_RPS4Y2_RPS5_RPS6_RPS7_RPS8_RPS9_RPSA	0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0	SIGNOR		SIGNOR:SIGNOR-C286
60S cytosolic large ribosomal subunit	P05386_P05387_P05388_P18077_P18124_P18621_P26373_P27635_P30050_P32969_P35268_P36578_P39023_P40429_P42766_P46776_P46777_P46778_P46779_P47914_P49207_P50914_P61254_P61313_P61353_P61513_P61927_P62424_P62750_P62829_P62888_P62891_P62899_P62906_P62910_P62913_P62917_P62945_P62987_P63173_P83731_P83881_P84098_Q02543_Q02878_Q07020_Q6P5R6_Q92901_Q969Q0_Q96EH5_Q96L21_Q9UNX3_Q9Y3U8	RPL10_RPL10A_RPL10L_RPL11_RPL12_RPL13_RPL13A_RPL14_RPL15_RPL17_RPL18_RPL18A_RPL19_RPL21_RPL22_RPL22L1_RPL23_RPL23A_RPL24_RPL26_RPL26L1_RPL27_RPL27A_RPL28_RPL29_RPL3_RPL30_RPL31_RPL32_RPL34_RPL35_RPL35A_RPL36_RPL36A_RPL36AL_RPL37_RPL37A_RPL38_RPL39_RPL39L_RPL3L_RPL4_RPL41_RPL5_RPL6_RPL7_RPL7A_RPL8_RPL9P8_RPLP0_RPLP1_RPLP2_UBA52	0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0	SIGNOR		SIGNOR:SIGNOR-C287
BBsome complex	A8MTZ0_Q3SYG4_Q8IWZ6_Q8N3I7_Q8NFJ9_Q8TAM2_Q96RK4_Q9BXC9	BBIP1_BBS1_BBS2_BBS4_BBS5_BBS7_BBS9_TTC8	1:1:1:1:1:1:1:1	SIGNOR;ComplexPortal;CORUM	31951201;22500027;25964651;20080638;14755292;17574030;19549489;19081074	SIGNOR:SIGNOR-C288;CORUM:6163;intact:EBI-6140398;PDB:6xt9
DPM complex	O60762_O94777_Q9P2X0	DPM1_DPM2_DPM3	1:1:1	SIGNOR;Compleat;CORUM;ComplexPortal;KEGG-MEDICUS	14755292;28616799;10835346	SIGNOR:SIGNOR-C289;CORUM:5244;Compleat:HC339;reactome:R-HSA-9631746;reactome:R-HSA-9631812;reactome:R-HSA-162692;intact:EBI-26374294
Hair cells mechanotransduction channel	Q8TDI7_Q8TDI8_Q92508_Q9H5I5	PIEZO1_PIEZO2_TMC1_TMC2	0:0:0:0	SIGNOR		SIGNOR:SIGNOR-C290
TIP-LINK complex	Q13402_Q495M9_Q96QU1_Q9H251_Q9Y6N9	CDH23_MYO7A_PCDH15_USH1C_USH1G	0:0:0:0:0	SIGNOR		SIGNOR:SIGNOR-C291
Caspase-2 PIDDosome	P42575_P78560_Q9HB75	CASP2_CRADD_PIDD1	7:7:5	SIGNOR;ComplexPortal;CORUM	20158568;14755292;17289572;15073321	SIGNOR:SIGNOR-C292;CORUM:129;reactome:R-HSA-6800782;intact:EBI-20819219;PDB:2of5
Calprotectin complex	P05109_P06702	S100A8_S100A9	6:6	PDB;SIGNOR;ComplexPortal;CORUM	17050004;17553524;25597447;14755292;29890074	SIGNOR:SIGNOR-C293;CORUM:6826;intact:EBI-10098135;intact:EBI-10098681;PDB:4ggf;PDB:4GGF;PDB:4xjk;PDB:1xk4;PDB:8sjc;PDB:5w1f;PDB:6ds2;PDB:8sjb;PDB:7quv;PDB:1XK4
SAE1/SAE2 complex	Q9UBE0_Q9UBT2	SAE1_UBA2	2:2	SIGNOR;Compleat;hu.MAP2;CORUM;PDB;ComplexPortal;hu.MAP	9312010;9920803;14755292;19352404	SIGNOR:SIGNOR-C294;CORUM:5756;Compleat:HC3370;intact:EBI-9008448;reactome:R-HSA-2990843;PDB:6cwy;PDB:6cwz;PDB:1y8q
BRCA1-BARD1 complex	P38398_Q99728	BARD1_BRCA1	1:1	SIGNOR;Compleat;hu.MAP2;CORUM;PDB;ComplexPortal;hu.MAP;KEGG-MEDICUS;hu.MAP3	11504724;11573085;14755292	SIGNOR:SIGNOR-C297;CORUM:201;Compleat:HC1751;intact:EBI-12519282;reactome:R-HSA-5683809;reactome:R-HSA-5659802;PDB:1jm7
Fanconi anemia core complex	O15287_O15360_Q00597_Q0VG06_Q8IYD8_Q8NB91_Q9BTP7_Q9HB96_Q9NPI8_Q9NW38	FAAP100_FAAP24_FANCA_FANCB_FANCC_FANCE_FANCF_FANCG_FANCL_FANCM	0:0:0:0:0:0:0:0:0:0	SIGNOR;CORUM	17396147	SIGNOR:SIGNOR-C300;CORUM:6884
D1-D2-G-X3 complex	O15287_O43542_P51587_Q9BXW9	BRCA2_FANCD2_FANCG_XRCC3	0:0:0:0	SIGNOR		SIGNOR:SIGNOR-C301
Fanconi anemia ID complex	Q9BXW9_Q9NVI1	FANCD2_FANCI	1:1	PDB;SIGNOR;ComplexPortal	32269332;14755292;19965384;24773018	SIGNOR:SIGNOR-C302;intact:EBI-26367919;reactome:R-HSA-420764;PDB:6vaf;PDB:6vae;PDB:6vad;PDB:6vaa
LINC complex	O94901_Q6ZMZ3_Q8N205_Q8N6L0_Q8NF91_Q8TAQ9_Q8TC36_Q8WXH0_Q9NPE6_Q9UH99	KASH5_SPAG4_SUN1_SUN2_SUN3_SUN5_SYNE1_SYNE2_SYNE3_SYNE4	0:0:0:0:0:0:0:0:0:0	SIGNOR		SIGNOR:SIGNOR-C303
Cohesin complex	O60216_Q14683_Q8N3U4_Q8WVM7_Q9UQE7	RAD21_SMC1A_SMC3_STAG1_STAG2	0:0:0:0:0	KEGG-MEDICUS;SIGNOR;SPIKE		SIGNOR:SIGNOR-C304
Cohesin complex	O60216_Q14683_Q8WVM7_Q9UQE7	RAD21_SMC1A_SMC3_STAG1	1:1:2:1	SIGNOR;ComplexPortal;Compleat;CORUM	10931856;11076961;32409525;14755292;11250156	SIGNOR:SIGNOR-C304;CORUM:63;Compleat:HC698;intact:EBI-25752220;reactome:R-HSA-2545214
Cohesin complex	O60216_Q14683_Q8WVM7_Q9UJ98_Q9UQE7	RAD21_SMC1A_SMC3_STAG1_STAG3	0:0:0:0:0	SIGNOR		SIGNOR:SIGNOR-C304
TTM complex	Q3KP22_Q8NA31_Q8NHR7	MAJIN_TERB1_TERB2	0:0:0	SIGNOR		SIGNOR:SIGNOR-C305
26S Proteasome	O00231_O00232_O00487_O14818_O43242_P17980_P20618_P25786_P25787_P25788_P25789_P28066_P28070_P28072_P28074_P35998_P43686_P48556_P49720_P49721_P51665_P55036_P60896_P60900_P62191_P62195_P62333_Q13200_Q15008_Q16186_Q99436_Q99460_Q9UNM6	ADRM1_PSMA1_PSMA2_PSMA3_PSMA4_PSMA5_PSMA6_PSMA7_PSMB1_PSMB2_PSMB3_PSMB4_PSMB5_PSMB6_PSMB7_PSMC1_PSMC2_PSMC3_PSMC4_PSMC5_PSMC6_PSMD1_PSMD11_PSMD12_PSMD13_PSMD14_PSMD2_PSMD3_PSMD4_PSMD6_PSMD7_PSMD8_SEM1	2:2:2:2:4:2:2:2:2:2:2:2:2:2:2:2:2:2:2:2:2:2:2:2:2:2:2:2:2:2:2:2:2	SIGNOR;ComplexPortal	35625547;37228199;19489727;33729481;14755292;29636472;37508510	SIGNOR:SIGNOR-C307;intact:EBI-52367116;intact:EBI-25753445;reactome:R-HSA-177750;PDB:5VFP;PDB:5VFT;PDB:5VFS;PDB:5VFR;PDB:5VFQ;PDB:5VFU
Complement C1q	P02745_P02746_P02747	C1QA_C1QB_C1QC	6:6:6	PDB;SIGNOR;ComplexPortal;CORUM	31165008;27914690;26489954;20548024;14755292;938474;18250442;28601358;29449492;22536204	SIGNOR:SIGNOR-C308;CORUM:6418;reactome:R-HSA-173579;reactome:R-HSA-173588;intact:EBI-6264901;PDB:2jg9;PDB:1PK6;PDB:1pk6;PDB:6z6v;PDB:9c9u;PDB:2jg8;PDB:2wnu;PDB:9c9l;PDB:2wnv
C3 convertase complex	P06681_P0C0L4_P0C0L5	C2_C4A_C4B_2	0:0:0	SIGNOR		SIGNOR:SIGNOR-C310
Fibrin	P02671_P02675_P02679	FGA_FGB_FGG	2:2:2	SIGNOR;CORUM;PDB;ComplexPortal;ICELLNET;KEGG-MEDICUS;CellPhoneDB	19296670;18294856;12356313;24661950;12524220;16846481;16601240;14755292;26867579	SIGNOR:SIGNOR-C317;CORUM:6417;CellPhoneDB:fibrinogen;reactome:R-HSA-114617;reactome:R-HSA-114618;reactome:R-HSA-140586;reactome:R-HSA-140919;intact:EBI-26361358;intact:EBI-6397384;PDB:2oyh;PDB:2ffd;PDB:1ltj;PDB:1rf1;PDB:1fzf;PDB:1fze;PDB:2hod;PDB:3hus;PDB:1rf0;PDB:2xnx;PDB:2oyi;PDB:1lt9;PDB:1fza;PDB:1n86;PDB:2hlo;PDB:1re4;PDB:1n8e;PDB:1fzb;PDB:1re3;PDB:2h43;PDB:2hpc;PDB:2xny;PDB:3e1i;PDB:2q9i;PDB:3bvh;PDB:1fzc;PDB:3ghg;PDB:1fzg
Membrane attack complex	P01031_P02748_P07357_P07358_P07360_P10643_P13671	C5_C6_C7_C8A_C8B_C8G_C9	2:1:1:1:1:1:1	PDB;SIGNOR;ComplexPortal	26841837;26489954;14755292;34667172;30552328	SIGNOR:SIGNOR-C313;intact:EBI-25827364;reactome:R-HSA-173728;PDB:7nyd;PDB:6h03;PDB:7nyc;PDB:6dlw;PDB:5fmw;PDB:6h04
C3 convertase complex (C3bBb)	P00751_P01024	C3_CFB	1:2	PDB;SIGNOR;ComplexPortal	27782331;14755292;27031863;26489954	SIGNOR:SIGNOR-C314;intact:EBI-25422148;PDB:2xwj
C5 convertase complex (C3bBbC3b)	P01024	C3	2	PDB;SIGNOR;ComplexPortal	19196712;26489954;17051150;27013439;21205667;27782329;6225800;14755292;15454921;17051160;6559201	SIGNOR:SIGNOR-C315;intact:EBI-12735745;reactome:R-HSA-166832;PDB:3g6j;PDB:7tv9;PDB:2noj;PDB:8oq3;PDB:5fo7;PDB:7qiv;PDB:6ru5;PDB:2qki;PDB:4hw5;PDB:6yo6;PDB:2a73;PDB:2i07;PDB:7bag;PDB:6ehg;PDB:2a74;PDB:6rmt
Thrombin-Thrombomodulin	P00734_P07204	F2_THBD	8:4	PDB;SIGNOR		SIGNOR:SIGNOR-C316;PDB:5to3;PDB:1dx5;PDB:3gis;PDB:1hlt
Factor Va-Xa	P00742_P12259	F10_F5	0:0	SIGNOR		SIGNOR:SIGNOR-C318
Factor FVIIa:TF	P08709_P13726	F3_F7	2:1	PDB;SIGNOR;ComplexPortal	22652793;18640965;24452853;12524220;14755292	SIGNOR:SIGNOR-C319;reactome:R-HSA-140734;intact:EBI-9026112;PDB:8uud;PDB:2aei;PDB:1wun;PDB:1wtg;PDB:3th2;PDB:1z6j;PDB:3th3;PDB:3ela;PDB:2zp0;PDB:1w2k;PDB:2flr;PDB:4zma;PDB:4ibl;PDB:8cn9;PDB:2a2q;PDB:2zzu;PDB:8qq6;PDB:2b7d;PDB:4z6a;PDB:2aer;PDB:1wv7;PDB:1wss;PDB:2flb;PDB:1dan;PDB:2c4f;PDB:1o5d;PDB:6r2w;PDB:2fir;PDB:1wqv;PDB:8qod;PDB:1w0y;PDB:3th4;PDB:1fak;PDB:1j9c;PDB:2ec9;PDB:4ylq;PDB:2f9b;PDB:2zwl;PDB:2b8o;PDB:2puq
Factor VIIIa-IXa	P00451_P00740	F8_F9	0:0	SIGNOR		SIGNOR:SIGNOR-C320
CENP-A nucleosome	P04908_P06899_P49450_P62805	CENPA_H2AC4_H2BC11_H4C4	2:2:2:2	PDB;SIGNOR;ComplexPortal	23324462;14755292;18097444	SIGNOR:SIGNOR-C321;intact:EBI-25469852;PDB:6e0p;PDB:3an2;PDB:6e0c;PDB:6o1d
Nucleosome	P06899_P0C0S5_P62805_P68431	H2AZ1_H2BC11_H3C11_H4C4	2:2:2:2	PDB;SIGNOR;ComplexPortal	24311584;14755292	SIGNOR:SIGNOR-C371;intact:EBI-25472636;PDB:3wa9;PDB:6jou;PDB:5z30
Nucleosome	P06899_P62805_P68431_Q71UI9	H2AZ2_H2BC11_H3C11_H4C4	2:2:2:2	PDB;SIGNOR;ComplexPortal	24311584;14755292	SIGNOR:SIGNOR-C371;intact:EBI-25472656;PDB:3waa
Nucleosome	P04908_P06899_P62805_P68431	H2AC4_H2BC11_H3C11_H4C4	2:2:2:2	PDB;SIGNOR;ComplexPortal	14755292;21812398	SIGNOR:SIGNOR-C371;intact:EBI-9019899;PDB:5avc;PDB:5av9;PDB:8jl9;PDB:6t93;PDB:3w98;PDB:5y0d;PDB:3azg;PDB:6jxd;PDB:3azi;PDB:5b2j;PDB:6r93;PDB:5gse;PDB:7k61;PDB:6ler;PDB:6m3v;PDB:5cpj;PDB:8ybj;PDB:8y3d;PDB:3azk;PDB:8jla;PDB:5av6;PDB:6m44;PDB:8ybk;PDB:8ihl;PDB:6r94;PDB:6l4a;PDB:4ym5;PDB:3azj;PDB:4ym6;PDB:5cpi;PDB:5y0c;PDB:5b2i;PDB:3w97;PDB:6jr0;PDB:3aze;PDB:5xf3;PDB:7vz4;PDB:3azm;PDB:3w99;PDB:5xf5;PDB:5av8;PDB:8y3c;PDB:5z23;PDB:3azl;PDB:5zbx;PDB:6v2k;PDB:8y3f;PDB:3azn;PDB:7y00;PDB:5av5;PDB:6iq4;PDB:6ipu;PDB:7xzy;PDB:6hkt;PDB:8y3e;PDB:3ayw;PDB:3azf;PDB:7nl0;PDB:5avb;PDB:5b24;PDB:5cpk;PDB:3afa;PDB:7lya;PDB:6jr1;PDB:5xf4;PDB:5jrg;PDB:3azh;PDB:8rgm;PDB:8vfx;PDB:3w96
Nucleosome_H3.1 variant	P04908_P06899_P0C0S5_P62805_P68431	H2AC4_H2AZ1_H2BC11_H3C11_H4C4	1:2:1:2:2	PDB;SIGNOR		SIGNOR:SIGNOR-C324;PDB:5b31
Nucleosome_H3.1 variant	P04908_P06899_P0C0S8_P62805_P68431	H2AC15_H2AC4_H2BC11_H3C11_H4C4	0:0:0:0:0	SIGNOR		SIGNOR:SIGNOR-C324
Nucleosome_H3.1 variant	P04908_P06899_P0C5Y9_P62805_P68431	H2AB1_H2AC4_H2BC11_H3C11_H4C4	0:0:0:0:0	SIGNOR		SIGNOR:SIGNOR-C324
Nucleosome_H3.1 variant	P04908_P06899_P0C5Z0_P62805_P68431	H2AB3_H2AC4_H2BC11_H3C11_H4C4	0:0:0:0:0	SIGNOR		SIGNOR:SIGNOR-C324
Nucleosome_H3.1 variant	P04908_P06899_P16104_P62805_P68431	H2AC4_H2AX_H2BC11_H3C11_H4C4	0:0:0:0:0	SIGNOR		SIGNOR:SIGNOR-C324
Nucleosome_H3.1 variant	P04908_P06899_P20671_P62805_P68431	H2AC4_H2AC7_H2BC11_H3C11_H4C4	0:0:0:0:0	SIGNOR		SIGNOR:SIGNOR-C324
Nucleosome_H3.1 variant	P04908_P06899_P62805_P68431_Q16777	H2AC20_H2AC4_H2BC11_H3C11_H4C4	0:0:0:0:0	SIGNOR		SIGNOR:SIGNOR-C324
Nucleosome_H3.1 variant	P04908_P06899_P62805_P68431_Q6FI13	H2AC18_H2AC4_H2BC11_H3C11_H4C4	0:0:0:0:0	SIGNOR		SIGNOR:SIGNOR-C324
Nucleosome_H3.1 variant	P04908_P06899_P62805_P68431_Q71UI9	H2AC4_H2AZ2_H2BC11_H3C11_H4C4	0:0:0:0:0	SIGNOR		SIGNOR:SIGNOR-C324
Nucleosome_H3.1 variant	P04908_P06899_P62805_P68431_Q7L7L0	H2AC25_H2AC4_H2BC11_H3C11_H4C4	0:0:0:0:0	SIGNOR		SIGNOR:SIGNOR-C324
Nucleosome_H3.1 variant	P04908_P06899_P62805_P68431_Q8IUE6	H2AC21_H2AC4_H2BC11_H3C11_H4C4	0:0:0:0:0	SIGNOR		SIGNOR:SIGNOR-C324
Nucleosome_H3.1 variant	P04908_P06899_P62805_P68431_Q93077	H2AC4_H2AC6_H2BC11_H3C11_H4C4	0:0:0:0:0	SIGNOR		SIGNOR:SIGNOR-C324
Nucleosome_H3.1 variant	P04908_P06899_P62805_P68431_Q96KK5	H2AC12_H2AC4_H2BC11_H3C11_H4C4	0:0:0:0:0	SIGNOR		SIGNOR:SIGNOR-C324
Nucleosome_H3.1 variant	P04908_P06899_P62805_P68431_Q96QV6	H2AC1_H2AC4_H2BC11_H3C11_H4C4	0:0:0:0:0	SIGNOR		SIGNOR:SIGNOR-C324
Nucleosome_H3.1 variant	P04908_P06899_P62805_P68431_Q99878	H2AC14_H2AC4_H2BC11_H3C11_H4C4	0:0:0:0:0	SIGNOR		SIGNOR:SIGNOR-C324
Nucleosome_H3.1 variant	P04908_P06899_P62805_P68431_Q9BTM1	H2AC4_H2AJ_H2BC11_H3C11_H4C4	0:0:0:0:0	SIGNOR		SIGNOR:SIGNOR-C324
Nucleosome	P04908_P06899_P62805_Q16695	H2AC4_H2BC11_H3-4_H4C4	2:2:2:2	PDB;SIGNOR;ComplexPortal	14755292;20498094	SIGNOR:SIGNOR-C371;intact:EBI-9020013;PDB:3a6n
GABA-A (a4-b2-d) receptor	O14764_P47870_P48169	GABRA4_GABRB2_GABRD	1:2:2	SIGNOR;ComplexPortal;CellChatDB;CellPhoneDB	34417930;14755292;18790874	SIGNOR:SIGNOR-C326;CellPhoneDB:GABA-A_a4b2d_complex;intact:EBI-9212750
GABA-A (a4-b3-d) receptor	O14764_P28472_P48169	GABRA4_GABRB3_GABRD	1:2:2	SIGNOR;PDB;ComplexPortal;CellChatDB;CellPhoneDB	35355020;34417930;14755292;18790874	SIGNOR:SIGNOR-C327;CellPhoneDB:GABA-A_a4b3d_complex;intact:EBI-9212829;PDB:7qnc;PDB:7QN5;PDB:7qn7;PDB:7QN9;PDB:7qn9;PDB:7qn5;PDB:7QN7;PDB:7QNC
GABA-A (a6-b2-d) receptor	O14764_P47870_Q16445	GABRA6_GABRB2_GABRD	1:2:2	SIGNOR;ComplexPortal	34417930;28528665;14755292;18790874	SIGNOR:SIGNOR-C328;intact:EBI-9212721
GABA-A (a6-b3-d) receptor	O14764_P28472_Q16445	GABRA6_GABRB3_GABRD	1:2:2	SIGNOR;ComplexPortal;CellChatDB;CellPhoneDB	34417930;28528665;19765192;14755292;18790874	SIGNOR:SIGNOR-C329;CellPhoneDB:GABA-A_a6b3d_complex;intact:EBI-9212649
GABA-A (a1-b1-g2) receptor	P14867_P18505_P18507	GABRA1_GABRB1_GABRG2	2:2:1	SIGNOR;ComplexPortal	35355020;34417930;14755292;29950725	SIGNOR:SIGNOR-C330;intact:EBI-48428573
GABA-A (a2-b1-g2) receptor	P18505_P18507_P47869	GABRA2_GABRB1_GABRG2	2:1:2	SIGNOR;ComplexPortal	35355020;29950725;34417930;14755292;18790874	SIGNOR:SIGNOR-C331;intact:EBI-48439579
GABA-A (a3-b1-g2) receptor	P18505_P18507_P34903	GABRA3_GABRB1_GABRG2	2:1:2	SIGNOR;ComplexPortal	34417930;14755292;18790874;35005623	SIGNOR:SIGNOR-C332;intact:EBI-48439784
GABA-A (a4-b1-g2) receptor	P18505_P18507_P48169	GABRA4_GABRB1_GABRG2	2:1:2	SIGNOR;ComplexPortal	35355020;9014148;30447328;33234346;14755292;18790874	SIGNOR:SIGNOR-C333;intact:EBI-48439846
GABA-A (a6-b1-g2) receptor	P18505_P18507_Q16445	GABRA6_GABRB1_GABRG2	2:1:2	SIGNOR;ComplexPortal	35355020;9014148;14755292;18790874	SIGNOR:SIGNOR-C334;intact:EBI-48440161
GABA-A (a5-b1-g2) receptor	P18505_P18507_P31644	GABRA5_GABRB1_GABRG2	2:1:2	SIGNOR;ComplexPortal	30607899;14755292;28232865;18790874;37892178	SIGNOR:SIGNOR-C335;intact:EBI-48439929
GABA-B receptor	O75899_Q9UBS5	GABBR1_GABBR2	1:1	PDB;SIGNOR;ComplexPortal;CORUM	14755292;9872316	SIGNOR:SIGNOR-C336;CORUM:6437;intact:EBI-9212872;reactome:R-HSA-420748;PDB:6wiv;PDB:7cum;PDB:4ms4;PDB:7ca3;PDB:4pas;PDB:6vjm;PDB:6uoa;PDB:7c7s;PDB:7ca5;PDB:4ms3;PDB:4mrm;PDB:4ms1;PDB:6w2x;PDB:6uo8;PDB:4mqe;PDB:4mr9;PDB:6uo9;PDB:4mr7;PDB:4mqf;PDB:4mr8;PDB:7c7q
MBD2/NuRD complex	O94776_Q09028_Q12873_Q13330_Q13547_Q14839_Q16576_Q86YP4_Q8WXI9_Q92769_Q9BTC8_Q9UBB5	CHD3_CHD4_GATAD2A_GATAD2B_HDAC1_HDAC2_MBD2_MTA1_MTA2_MTA3_RBBP4_RBBP7	1:1:1:1:1:1:1:1:1:1:1:1	SIGNOR;ComplexPortal	27098840;14755292;21734722;24920672;25123934;16428440;23340908;23791785	SIGNOR:SIGNOR-C337;intact:EBI-12596290;reactome:R-HSA-4657018;reactome:R-HSA-6805654;PDB:4pbz;PDB:4bkx;PDB:4pc0;PDB:5fxy;PDB:4pby
MBD3/NuRD complex	O94776_O95983_Q09028_Q12873_Q13330_Q13547_Q14839_Q16576_Q86YP4_Q8WXI9_Q92769_Q9BTC8	CHD3_CHD4_GATAD2A_GATAD2B_HDAC1_HDAC2_MBD3_MTA1_MTA2_MTA3_RBBP4_RBBP7	1:1:1:1:1:1:1:1:1:1:1:1	SIGNOR;ComplexPortal	27098840;25123934;14755292;24920672;21734722;16428440;23340908	SIGNOR:SIGNOR-C338;intact:EBI-12676780;reactome:R-HSA-4657018;reactome:R-HSA-6805654;PDB:4pbz;PDB:4bkx;PDB:4pc0;PDB:5fxy;PDB:4pby
Nucleosome	P04908_P06899_P62805_P84243	H2AC4_H2BC11_H3-3A_H4C4	2:2:2:2	PDB;SIGNOR		SIGNOR:SIGNOR-C371;PDB:8kb5;PDB:5x7x;PDB:3av2
CERF	P51531_Q9BXF3	CECR2_SMARCA2	0:0	SIGNOR		SIGNOR:SIGNOR-C340
Condensin I	O95347_Q15003_Q15021_Q9BPX3_Q9NTJ3	NCAPD2_NCAPG_NCAPH_SMC2_SMC4	1:1:1:1:1	SIGNOR;Compleat;CORUM;ComplexPortal;Havugimana2012;SPIKE;KEGG-MEDICUS	21795393;25474630;17268547;10958694;14755292;15823530;11250156;10811823;11136719	SIGNOR:SIGNOR-C341;CORUM:10;Havugimana2012:C_428;Compleat:HC1;reactome:R-HSA-2520845;reactome:R-HSA-1638143;intact:EBI-12737208;PDB:4u4p
Condensin II	O95347_P42695_Q6IBW4_Q86XI2_Q9NTJ3	NCAPD3_NCAPG2_NCAPH2_SMC2_SMC4	1:1:1:1:1	SIGNOR;Compleat;CORUM;ComplexPortal;hu.MAP;KEGG-MEDICUS	21795393;14532007;25474630;17268547;14755292;15823530	SIGNOR:SIGNOR-C342;CORUM:160;Compleat:HC1737;reactome:R-HSA-2294598;reactome:R-HSA-2294584;intact:EBI-12738826;PDB:4u4p
TFIID	O00268_P20226_P21675_P49848_Q12962_Q15542_Q15543_Q15544_Q15545_Q16514_Q16594_Q5VWG9_Q6P1X5_Q7Z7C8	TAF1_TAF10_TAF11_TAF12_TAF13_TAF2_TAF3_TAF4_TAF5_TAF6_TAF7_TAF8_TAF9_TBP	2:1:1:2:1:2:1:1:1:2:2:1:1:1	PDB;SIGNOR;ComplexPortal	25586196;12237304;9695952;23292512;16531235;25412659;14755292;19308322;23332750;27007846	SIGNOR:SIGNOR-C343;intact:EBI-12654601;PDB:1BH8;PDB:7ege;PDB:4rgw;PDB:4wv4;PDB:6MZC;PDB:6mzl;PDB:1H3O;PDB:1BH9
MSL acetyltransferase	Q68DK7_Q8N5Y2_Q9H7Z6_Q9HCI7	KAT8_MSL1_MSL2_MSL3	1:1:1:1	SIGNOR;Compleat;hu.MAP2;CORUM;ComplexPortal;hu.MAP3	16227571;14755292;22547026;20018852	SIGNOR:SIGNOR-C344;CORUM:7220;Compleat:HC205;reactome:R-HSA-3321834;intact:EBI-12556981;PDB:4B86;PDB:2Y0N;PDB:4DNC;PDB:4B7Y;PDB:2Y0M
SF3a	Q12874_Q15428_Q15459	SF3A1_SF3A2_SF3A3	1:1:1	SIGNOR;hu.MAP2;Compleat;CORUM;ComplexPortal	14755292;10882114;11533230;21349847	SIGNOR:SIGNOR-C345;CORUM:1734;Compleat:HC1331;intact:EBI-9020026;PDB:2dt7
SNARE_complex	P60880_P63027_Q16623	SNAP25_STX1A_VAMP2	1:1:1	SIGNOR;ComplexPortal	29139159;26635000;37848589;14755292;20798282	SIGNOR:SIGNOR-C346
